Truck ID,Cluster Number,Count Occurence
 58S52BXLGU,0,5
 58S52BXLGU,10,3
 58S52BXLGU,19,2
 59FGX7B7SI,0,2
 59FGX7B7SI,2,1
 59FX51B4GU,14,4
 59FX51B4GU,2,1
 59FX51B4GU,3,1
 59SBX6P4GU,0,1
 59SBX6P4GU,6,2
 59SX51B4GU,0,5
 59SX51B4GU,3,2
 5B1S12XLGU,25,3
 5B1S12XLGU,3,1
 5B1S12XLGU,30,1
 5B24LXP4GU,0,5
 5B24LXP4GU,32,1
 5B3I66P4GU,14,1
 5B3I66P4GU,18,1
 5B3I66P4GU,24,1
 5BGX4U6PSI,0,8
 5BGX4U6PSI,2,1
 5F1PS1B4GU,0,1
 5F1SLXP4GU,0,3
 5F31GXBLUI,22,17
 5F3GX7B7SI,17,1
 5F3GX7B7SI,2,1
 5F9GXUB7SI,15,1
 5F9GXUB7SI,17,2
 5GFX4U6PSI,0,5
 5GFX4U6PSI,3,5
 5I081FB4GU,0,5
 5I081FB4GU,3,3
 5IBLFSP4GU,0,5
 5L16P1B4GU,2,4
 5L16P1B4GU,3,1
 5L1GX16PSI,18,3
 5L1GX16PSI,2,1
 5L1GX16PSI,3,1
 5L1GX16PSI,34,1
 5L1GX16PSI,6,4
 5L3GXUB7SI,0,1
 5L3GXUB7SI,17,1
 5L3GXUB7SI,3,4
 5L8X4BP4GU,11,5
 5L9X4BP4GU,9,1
 5P4IS1B4GU,0,6
 5P4IS1B4GU,27,1
 5P4IS1B4GU,9,1
 5P5F51B4GU,0,2
 5P7GXUB7SI,0,3
 5P7GXUB7SI,2,1
 5PFGXUB7SI,0,3
 5PFGXUB7SI,35,2
 5S1F51B4GU,0,1
 5S1F51B4GU,14,4
 5S24LXP4GU,0,3
 5S24LXP4GU,2,1
 5S2B156LPG,0,1
 5S2B156LPG,8,2
 5S8X4BP4GU,2,3
 5S8X4BP4GU,9,3
 5UX2B2GLPI,4,4
 5XL01FB4GU,8,1
 5XS41FB4GU,0,5
 5XS41FB4GU,3,6
 608F4BP4GU,8,2
 613P37LSUI,4,1
 615X6BP4GU,0,6
 615X6BP4GU,18,1
 618PGBS1LI,2,4
 618PGBS1LI,3,2
 61B6X16PSI,0,1
 61BIFSP4GU,0,3
 61X16BP4GU,0,2
 61X16BP4GU,18,1
